P_ID,Flow,Word count,NAs
1,0.9471352729129516,10,0

2,0.8129169584796857,10,0

3,0.8208334061545766,10,0

4,0.7251352847006428,10,1

5,0.5441632324510322,10,2

6,0.8048347639671661,10,3

7,0.8861010448257431,10,0

8,0.944603106743813,10,0

9,0.8762253044774365,10,1

10,0.8931285575718086,10,0

11,0.8681935264333085,10,2

12,0.7688540756448037,10,1

13,0.6968828033822396,10,1

14,0.9170128666835746,10,0

15,0.8531243288734827,10,0

16,0.8403410907606955,10,0

17,0.7631510340581528,10,2

18,0.9245064296027576,10,0

19,0.7439556326673935,10,1

20,0.8919124350198635,10,0

21,0.839230974140446,10,0

22,0.8155688154244253,10,1

23,0.8138957034718738,10,0

24,0.6617096564660099,10,2

25,0.8251024371558562,10,0

26,0.710290751308399,10,1

27,0.8452483308495092,10,1

28,0.8350403069160567,10,2

29,0.7844586912079612,10,0

30,0.6058859481396135,10,1

31,0.9105584542191352,10,2

32,0.7892306521172904,10,2

33,0.8515055455011751,10,0

34,0.7856964153476679,10,1

35,0.8906672239765476,10,0

36,0.7157575625765602,10,1

37,0.7679314165894942,10,1

38,0.7953220355181627,10,1

39,0.7524987224902061,10,1

40,0.8113087724017153,10,1

41,0.6971995610567089,10,2

42,0.7156379529170072,10,0

43,0.7885437363048772,10,0

44,0.8671691594551875,10,0

45,0.8305388081877461,10,0

46,0.8261110986669029,10,1

47,0.8946842448970364,10,0

48,0.7910093096632214,10,0

49,0.8263519891887579,10,0

50,0.8665261045640817,10,0

51,0.9005283627327572,10,0

52,0.8580230175771638,10,0

53,0.8646364440110115,10,0

54,0.8487892008415429,10,0

55,0.8479666011161299,10,0

56,0.8575972638120669,10,0

57,0.9336237215577083,10,0

58,0.8949240064037287,10,0

59,0.8547889360283687,10,0

60,0.8424004069979696,10,0

61,0.7955315517795863,10,0

62,0.8649069429816105,10,0

63,0.9084521290937041,10,0

64,0.8682972143961817,10,0

65,0.8730420705056317,10,1

66,0.7921963442195377,10,1

67,0.786651743300318,10,0

68,0.8629659982657792,10,1

69,0.8907906034443877,10,1

70,0.8492459109208395,10,0

71,0.8789684495177199,10,1

72,0.7232047698706452,10,1

73,0.8257198478375295,10,0

74,0.8488028321683524,10,0

75,0.8024401834750314,10,0

76,0.8815389021720509,10,0

77,0.8514243925860218,10,0

78,0.9150236528020517,10,0

79,0.842476728093406,10,1

80,0.9103861366585888,10,0

81,0.74890227770473,10,1

82,0.6141782939080518,10,2

83,0.8640742002198878,10,1

84,0.8785870752466661,10,0

85,0.7279118402118404,10,0

86,0.8988421998397964,10,0

87,0.9050445804414573,10,0

88,0.8429109507336973,10,2

89,0.7265493346962155,10,0

90,0.8540391179875544,10,0

91,0.786857724567745,10,1

92,0.8123974870935422,10,1

93,0.8655709208133681,10,0

94,0.8119171292455172,10,1

95,0.7373578440707389,10,3

96,0.8624542233922629,10,1

97,0.7713898700414286,10,1

98,0.8174792793749267,10,1

99,0.7601298298457402,10,0

100,0.5460818525535388,10,3

101,0.7841708002903344,10,1

102,0.8202761084200506,10,0

103,0.8961184165378394,10,0

104,0.8984368299047131,10,0

105,0.8501505557616363,10,0

106,0.9065837108740717,10,0

107,0.7642952391343205,10,1

108,0.8735333152761349,10,0

109,0.9430626541557992,10,0

110,0.860358073867839,10,0

111,0.8694287592771064,10,0

112,0.7038087091429945,10,1

113,0.8814585093951011,10,1

114,0.8772542195512092,10,0

115,0.8678035120981288,10,1

116,0.8505057803388337,10,1

117,0.8582709445564549,10,1

118,0.8108830014083643,10,0

119,0.7910773288402173,10,1

120,0.9167902221281655,10,1

121,0.5271830210407116,10,2

122,0.8890467874106551,10,2

123,0.8412222439672737,10,0

124,0.8437709007942636,10,0

125,0.7581508079131739,10,2

126,0.870008118402975,10,1

127,0.6841395300109913,10,2

128,0.8569557823768763,10,0

129,0.8864049894516507,10,0

130,0.846180624059509,10,1

131,0.8819394641296519,10,0

132,0.7653690191573834,10,0

133,0.7946632044137046,10,0

134,0.872268148094175,10,0

135,0.7052055490199233,10,2

136,0.7966147205326588,10,0

137,0.8857402893498088,10,0

138,0.6471624087670153,10,2

139,0.5017908573978177,10,5

140,0.8938959097254274,10,1

141,0.6849759189452782,10,1

