originality,DSI_ukwac,DSI_subtitle,DSI_baroni,DSI_glove,DSI_TASA,LSE,dat
0.1,0.8362952797,0.90184071,0.8961143291,0.819842583,0.9729519193,0.888,74.7101878481
0.2,0.864734713,0.8958479004,0.8985665355,0.9185910782,0.9859253917,0.896,80.5905550075
1.8,0.8442670718,0.9425829596,0.9194647433,0.8444245806,1.0001504821,0.902,86.8658287096
1.6,0.8658149025,0.9279566315,0.9282346811,0.9142365574,1.0024480878,0.921,84.80858809
0.2,0.8184405849,0.9074907029,0.9000586121,0.8560767073,0.9915344622,0.785,71.4030447815
0,0.8170669231,0.9053325247,0.9011024747,0.874774664,0.9775262659,0.801,73.8954759779
0.7,0.9283340179,0.8920266558,0.9480461553,0.9696789647,0.9468525377,0.96,92.732804375
0.8,0.793528815,0.8715308154,0.9025972886,0.9054854664,0.9089655059,0.746,71.5810688966
0,0.8235910455,0.9224967299,0.9139639056,0.832293374,1.0018878045,0.888,73.9895541753
0,0.8112219737,0.9147694138,0.9246170448,0.8612698979,0.9868186975,0.832,74.0977386279
0.6,0.8592591683,0.9322263868,0.9183762219,0.8795090227,0.9816881194,0.833,80.9176368728
1.2,0.9258199225,0.8784654073,0.9335616973,0.9749270221,1.0015135395,0.908,84.0793129278
1.2,0.9131243117,0.8663376824,0.9318430856,0.983063542,0.9978848831,0.937,90.0627820176
0.3,0.8101913019,0.8727914246,0.875931456,0.8391346351,0.9777987225,0.818,78.3117789243
0.6,0.8000286915,0.9020143435,0.8963076535,0.8178157849,0.9864537177,0.853,73.0095215497
0.8,0.8586145208,0.9303556205,0.9093350574,0.8946364759,0.9943760181,0.907,84.1546878928
0.3,0.8434548403,0.9184810582,0.8942735723,0.8667478844,0.996822924,0.922,80.3484793398
0.5,0.8327579993,0.9225638691,0.9216001982,0.8758545996,0.9946912575,0.869,79.6275668201
2,0.7227647431,0.8897783342,0.8708563998,0.7143315181,0.9382288728,0.743,61.2510680443
0,0.8055362581,0.9162839553,0.9043088838,0.8736456169,0.9911708922,0.788,79.8805841733
0.1,0.8609706148,0.9388137232,0.9034529342,0.8556364633,0.99660576,0.881,79.1534817999
1,0.8444384195,0.8807747854,0.8657615708,0.936899321,0.9993499987,0.942,85.8878872579
0.4,0.7171643593,0.8980678527,0.8825654715,0.7936344756,0.976773331,0.804,66.0353694643
0.3,0.8401836529,0.9011212084,0.873277876,0.8627928311,0.9990816671,0.857,75.3348107849
1.9,0.8748722925,0.8332138773,0.8861914815,0.9613403143,1.0028413918,0.971,87.6907492323
0.9,0.9410736341,0.8807010244,0.9330081121,0.9723871764,1.0045163669,0.973,89.5499125655
0.7,0.8521461855,0.9273697312,0.9208578373,0.9108716449,1.0150508349,0.942,79.6045300152
1.1,0.837772316,0.8860393758,0.8735421728,0.8984409908,0.9730023543,0.899,77.5834614677
